sport,home_team,away_team,network,viewership_millions,season,is_estimate,source,notes,is_rivalry,is_ranked_matchup,is_prime_time,conference,game_type
football,Houston,LSU,ESPN,2.924,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Texas Bowl; Saturday 9:15PM ET,0,0,1,Unknown,postseason
football,Montana State,Montana,ABC,2.838,2025,0,TV Media Blog,TV Media Blog chart bi3yR; FCS Semifinal; Saturday 4PM ET,0,0,0,Unknown,postseason
football,Hawaii,Cal,ESPN,2.701,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Hawaii Bowl; Wednesday 8PM ET,0,0,1,Unknown,postseason
football,Colorado,Delaware,FOX,2.685,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Minnesota,Nebraska,FOX,2.661,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Friday 8:00PM ET,0,0,1,Unknown,regular_season
football,Kentucky,Texas,ESPN,2.628,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 7:00PM ET,0,0,1,Unknown,regular_season
football,Mississippi State,Wake Forest,ESPN,2.614,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Duke's Mayo Bowl; Friday 8PM ET,0,0,1,Unknown,postseason
football,Arizona State,Texas Tech,FOX,2.558,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 4:00PM ET,0,0,0,Unknown,regular_season
football,East Carolina,Pittsburgh,ESPN,2.514,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Military Bowl; Saturday 11AM ET,0,0,0,Unknown,postseason
football,Northwestern,Central Michigan,ESPN,2.393,2025,0,TV Media Blog,TV Media Blog chart bi3yR; GameAbove Bowl; Friday 1PM ET,0,0,0,Unknown,postseason
football,SMU,Arizona,FOX,2.338,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Holiday Bowl; Friday 8PM ET,0,0,1,Unknown,postseason
football,Oregon,Oklahoma State,CBS,2.32,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Prairie View A&M,South Carolina State,ABC,2.315,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Celebration Bowl; Saturday 12PM ET,0,0,0,Unknown,postseason
football,Duke,Arizona State,CBS,2.168,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Sun Bowl; Wednesday 2PM ET,0,0,0,Unknown,postseason
football,Mississippi State,Georgia,ESPN,2.13,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Southern Miss,WKU,ESPN,2.045,2025,0,TV Media Blog,TV Media Blog chart bi3yR; New Orleans Bowl; Tuesday 5:30PM ET,0,0,0,Unknown,postseason
football,Duke,Illinois,ESPN,2.007,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,USC,Northwestern,FOX,1.91,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Friday 9:00PM ET,0,0,1,Unknown,regular_season
football,Montana,South Dakota,ABC,1.902,2025,0,TV Media Blog,TV Media Blog chart bi3yR; FCS QF; Saturday 3:30PM ET,0,0,0,Unknown,postseason
football,Ohio State,Grambling State,BTN,1.831,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Purdue,Ohio State,BTN,1.831,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Saturday 1:00PM ET,0,0,0,Unknown,regular_season
football,BYU,Utah,FOX,1.826,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 8:00PM ET,0,0,1,Unknown,regular_season
football,Missouri,Kansas,ESPN2,1.812,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Army,UConn,ESPN,1.81,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Fenway Bowl; Saturday 2:15PM ET,0,0,0,Unknown,postseason
football,Texas State,Rice,ESPN,1.801,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Armed Forces Bowl; Friday 1PM ET,0,0,0,Unknown,postseason
football,Louisiana Tech,Coastal Carolina,ESPN,1.754,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Independence Bowl; Tuesday 2PM ET,0,0,0,Unknown,postseason
football,Florida,Florida State,ESPN2,1.727,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Saturday 4:30PM ET,0,0,0,Unknown,regular_season
football,Ohio,UNLV,ESPN,1.701,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Frisco Bowl; Tuesday 9PM ET,0,0,1,Unknown,postseason
football,Michigan State,Boston College,NBC,1.643,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 7:30PM ET,0,0,1,Unknown,regular_season
football,Louisville,Toledo,ESPN,1.636,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Boca Raton Bowl; Tuesday 2PM ET,0,0,0,Unknown,postseason
football,Duke,Georgia Tech,ESPN,1.563,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Arkansas,Texas A&M,ESPN,1.516,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 5:30PM ET,0,0,0,Unknown,regular_season
football,NC State,Memphis,ESPN,1.507,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Gasparilla Bowl; Friday 2:30PM ET,0,0,0,Unknown,postseason
football,California,North Carolina,ESPN,1.5,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Friday 10:30PM ET,0,0,0,Unknown,regular_season
football,San Diego State,North Texas,ESPN,1.39,2025,0,TV Media Blog,TV Media Blog chart bi3yR; New Mexico Bowl; Saturday 5:45PM ET,0,0,0,Unknown,postseason
football,Stanford,Notre Dame,ESPN,1.384,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Saturday 10:30PM ET,0,0,0,Unknown,regular_season
football,Stanford,Florida State,ESPN,1.38,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 10:30PM ET,0,0,0,Unknown,regular_season
football,Minnesota,Wisconsin,FS1,1.374,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Tarleton,Villanova,ESPN,1.27,2025,0,TV Media Blog,TV Media Blog chart bi3yR; FCS QF; Saturday 12PM ET,0,0,0,Unknown,postseason
football,Utah State,Washington State,ESPN,1.249,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Potato Bowl; Monday 2PM ET,0,0,0,Unknown,postseason
